popularity,popularity_num,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
False,60,1921903,71,0.649,0.792,11,-4.677,1,0.0966,0.109,0,0.343,0.543,149.962,4
False,54,16514,46,0.614,0.787,5,-2.668,1,0.0583,0.335,0,0.157,0.459,143.841,4
False,41,16163,40,0.439,0.465,6,-5.347,1,0.0296,0.496,0,0.0878,0.179,152.927,3
False,46,63119,54,0.674,0.82,2,-5.48,1,0.236,0.673,4.05e-05,0.239,0.301,106.019,4
False,67,284960,61,0.314,0.526,0,-4.686,0,0.0484,0.428,0,0.126,0.195,78.643,5
True,13,5884,34,0.523,0.256,0,-9.758,1,0.0363,0.876,0,0.141,0.27,131.286,4
False,42,11588,44,0.557,0.579,4,-5.1,0,0.0329,0.267,5.69e-05,0.127,0.233,119.836,4
False,58,248938,59,0.375,0.343,11,-7.224,1,0.0345,0.859,0,0.134,0.158,121.879,4
False,42,21405,44,0.453,0.737,11,-3.676,0,0.0507,0.0754,2.87e-06,0.149,0.29,75.959,4
False,62,385716,59,0.497,0.431,5,-4.755,0,0.0287,0.66,0,0.153,0.166,133.682,4
True,3,253821,61,0.423,0.705,10,-4.742,1,0.0384,0.457,0,0.196,0.466,179.904,4
False,52,4370,48,0.624,0.719,6,-4.083,1,0.072,0.395,0,0.0975,0.699,87.483,4
False,42,206,31,0.463,0.347,8,-6.924,0,0.0284,0.701,0,0.153,0.22,133.439,4
False,41,10152,41,0.668,0.72,7,-3.776,0,0.0586,0.302,0,0.319,0.455,104.992,4
False,52,6804,49,0.47,0.288,8,-9.434,1,0.0279,0.859,1.78e-05,0.103,0.153,133.25,4
False,58,253821,58,0.533,0.838,0,-3.722,1,0.0319,0.103,0,0.394,0.451,75.013,4
False,40,1038,30,0.473,0.603,10,-4.397,1,0.0834,0.644,0,0.112,0.632,170.098,4
False,62,115720,56,0.535,0.463,7,-6.074,1,0.0251,0.605,0,0.124,0.297,75.997,4
False,44,2961,40,0.429,0.355,5,-7.189,0,0.0289,0.858,0.000112,0.0983,0.0789,148.066,4
False,50,385716,59,0.54,0.535,1,-4.86,1,0.0301,0.459,0,0.154,0.216,131.99,3
False,41,7938,42,0.544,0.354,7,-6.545,1,0.0269,0.763,0,0.104,0.137,80.881,4
True,38,1030,33,0.616,0.299,5,-7.516,0,0.0386,0.636,1.99e-06,0.106,0.135,131.391,4
False,59,114090,58,0.454,0.344,5,-6.002,1,0.0316,0.901,0,0.129,0.209,133.329,4
False,56,99765,53,0.48,0.501,5,-5.511,1,0.0296,0.624,0,0.0748,0.222,110.889,4
False,52,76806,55,0.493,0.299,11,-9.683,1,0.03,0.877,5.33e-06,0.1,0.407,125.796,4
True,38,1459,33,0.439,0.706,0,-4.713,1,0.082,0.0375,0.000142,0.298,0.169,175.626,4
True,39,60835,37,0.511,0.618,6,-3.654,1,0.0331,0.519,0,0.129,0.328,147.963,4
True,38,795,30,0.456,0.411,4,-7.597,0,0.0317,0.753,0,0.134,0.177,135.466,4
False,45,4090,41,0.613,0.702,1,-3.164,1,0.0329,0.733,0,0.0756,0.385,109.918,4
True,37,248,32,0.684,0.664,9,-4.547,0,0.0353,0.14,2.35e-06,0.275,0.62,112.977,4
False,40,7220,44,0.794,0.401,7,-7.027,1,0.0331,0.763,0,0.101,0.459,120.014,4
False,46,6920,41,0.559,0.408,1,-7.148,1,0.0276,0.54,3.99e-05,0.0955,0.268,125.832,4
True,3,57901,47,0.404,0.589,10,-3.852,1,0.0327,0.751,0,0.339,0.251,128.553,4
False,41,5188,36,0.505,0.365,10,-6.649,1,0.0377,0.623,0,0.0573,0.319,123.553,3
False,47,199024,61,0.587,0.709,7,-4.941,1,0.0365,0.636,0,0.208,0.251,107.941,4
False,42,6746,41,0.672,0.233,7,-9.293,1,0.0393,0.944,0,0.146,0.297,83.971,4
False,54,114672,55,0.316,0.472,3,-6.849,1,0.0334,0.749,0,0.195,0.328,61.657,4
False,47,15332,45,0.57,0.729,0,-4.506,0,0.0442,0.432,0,0.231,0.294,135.873,4
False,57,118903,54,0.451,0.383,8,-5.055,1,0.0269,0.735,0,0.099,0.15,148.134,3
False,51,200918,59,0.598,0.596,3,-5.175,1,0.0309,0.633,0,0.131,0.321,130.004,4
False,40,7013,36,0.48,0.498,11,-8.603,1,0.0279,0.107,0.000147,0.178,0.21,80.005,4
False,42,7220,44,0.521,0.319,11,-11.376,1,0.0283,0.539,3.61e-05,0.277,0.115,74.022,4
False,44,94375,50,0.746,0.524,10,-6.63,0,0.0347,0.625,0,0.119,0.535,94.959,4
False,52,491,44,0.717,0.469,4,-5.848,1,0.0324,0.535,0,0.146,0.36,126.999,4
False,43,114090,58,0.391,0.354,3,-8.261,1,0.0319,0.753,0,0.103,0.197,82.502,5
False,40,3327,35,0.434,0.474,7,-6.734,1,0.0384,0.818,3.02e-05,0.277,0.178,68.861,4
True,39,5153,38,0.404,0.0964,3,-12.3,1,0.0331,0.942,0,0.115,0.155,137.722,4
False,48,4760,41,0.546,0.745,4,-5.52,1,0.0384,0.489,0,0.103,0.235,97.957,4
False,41,4428,36,0.489,0.518,2,-4.926,1,0.0303,0.248,0,0.158,0.115,134.016,4
False,55,18231,59,0.461,0.316,8,-6.366,1,0.0316,0.859,0,0.111,0.51,128.924,4
True,39,2002,37,0.656,0.795,2,-3.182,1,0.0351,0.349,0,0.163,0.514,131.03,4
True,0,13525,39,0.641,0.714,7,-5.938,1,0.137,0.668,0,0.316,0.797,92.972,4
False,58,657441,72,0.693,0.529,9,-4.819,1,0.0539,0.56,0,0.111,0.555,80.026,4
False,44,50710,59,0.589,0.424,7,-12.624,1,0.0364,0.296,7.38e-06,0.235,0.378,103.083,4
True,2,580174,65,0.445,0.528,10,-7.243,1,0.0744,0.677,0,0.155,0.511,203.155,4
False,48,67792,54,0.714,0.479,5,-8.228,0,0.0286,0.661,0,0.17,0.773,98.015,4
